date,symbol,open,high,low,close,network,SMA_10,SMA_50,RSI,MACD,MACD_Signal,Log_Return,Volatility
2020-01-14,BTCUSDT,8110.34,8880.0,8105.54,8810.01,Bitcoin,8045.812999999999,7426.679400000001,74.89332182277857,274.8161339893195,158.40505398973397,0.08274878422149841,0.03145052615792239
2020-01-15,BTCUSDT,8814.64,8916.48,8564.0,8821.41,Bitcoin,8192.079,7459.9848,74.93798435297522,319.95066050860805,190.7141752935088,0.001293146166175448,0.03142377535520533
2020-01-16,BTCUSDT,8820.01,8859.81,8586.0,8720.01,Bitcoin,8288.279999999999,7484.214599999999,78.15493156664871,343.57741877290937,221.2868239893889,-0.011561336478177777,0.03179435862884076
2020-01-17,BTCUSDT,8720.15,9041.65,8672.44,8913.28,Bitcoin,8365.079999999998,7514.0904,76.7680732967851,373.5905493928267,251.74756907007648,0.021921914733313886,0.031920078374074574
2020-01-18,BTCUSDT,8913.27,8988.88,8806.38,8915.96,Bitcoin,8451.078,7537.616,76.71664973195257,393.06145743529487,280.0103467431202,0.0003006297542892932,0.031991811246300496
2020-01-19,BTCUSDT,8915.09,9198.98,8466.0,8701.7,Bitcoin,8539.472,7560.812199999999,71.43500148438527,386.745143708622,301.3573061362206,-0.024324520325978746,0.032241219390809164
2020-01-20,BTCUSDT,8701.72,8746.99,8521.28,8642.35,Bitcoin,8584.005000000001,7585.841399999999,65.83318711932141,372.6546398634082,315.6167728816581,-0.0068438722969167065,0.032236294694364065
2020-01-21,BTCUSDT,8642.35,8789.0,8488.0,8736.03,Bitcoin,8655.607,7614.6764,61.819207637919135,364.84134323409853,325.4616869521462,0.010781316488657582,0.032176941380777355
2020-01-22,BTCUSDT,8736.04,8818.0,8590.0,8682.36,Bitcoin,8705.345,7642.469399999999,62.71331612190888,350.2807109093228,330.4254917435815,-0.006162471944631271,0.030820757584549833
2020-01-23,BTCUSDT,8682.77,8691.81,8306.39,8404.52,Bitcoin,8734.763,7666.6734,61.72066637369663,312.7171304735675,326.88381948957874,-0.03252372475192156,0.03062008577326106
2020-01-24,BTCUSDT,8404.52,8528.02,8238.0,8439.0,Bitcoin,8697.662,7687.6734,55.60574891582341,282.47378818944344,318.0018132295517,0.004094161809795407,0.030599806869337495
2020-01-25,BTCUSDT,8438.99,8451.26,8254.9,8340.58,Bitcoin,8649.579000000002,7703.935600000001,57.707010044573096,247.70861929801504,303.9431744432444,-0.01173105985876297,0.030856457624563235
2020-01-26,BTCUSDT,8340.01,8618.13,8293.66,8615.0,Bitcoin,8639.078000000001,7726.4714,59.8214856704337,239.5391152457796,291.06236260375147,0.0323721116628264,0.02954221771791209
2020-01-27,BTCUSDT,8614.39,9000.0,8535.0,8907.57,Bitcoin,8638.507,7754.4205999999995,66.55989963067746,253.74763354963034,283.5994167929273,0.03339660703325178,0.028537279498042988
2020-01-28,BTCUSDT,8907.57,9400.0,8862.4,9374.21,Bitcoin,8684.332,7795.132,62.975603473653216,299.21279594096995,286.72209262253585,0.05106082462602789,0.030096928065151247
2020-01-29,BTCUSDT,9375.34,9449.24,9216.0,9301.53,Bitcoin,8744.315,7836.68,60.739209791711446,325.62598247616916,294.5028705932625,-0.007783398882224428,0.02902685375445535
2020-01-30,BTCUSDT,9301.57,9578.0,9204.44,9513.21,Bitcoin,8831.401,7882.744199999999,66.907965416688,359.4953909299438,307.5013746605988,0.022502456278908796,0.027788745044072135
2020-01-31,BTCUSDT,9511.52,9530.22,9210.01,9352.89,Bitcoin,8893.087,7925.8404,59.504300187227855,369.14537885321624,319.83017549912233,-0.01699597258492471,0.027540568459607513
2020-02-01,BTCUSDT,9351.71,9464.53,9281.0,9384.61,Bitcoin,8963.312,7968.362999999999,60.006490927647555,375.029496128107,330.8700396249193,0.003385727050131138,0.027390590997945483
2020-02-02,BTCUSDT,9384.41,9477.03,9120.0,9331.51,Bitcoin,9056.011,8013.7122,64.44140752188648,371.12982167250266,338.92199603443595,-0.005674268221518584,0.027294324811241926
2020-02-03,BTCUSDT,9331.59,9618.79,9234.0,9292.24,Bitcoin,9141.335,8057.1852,65.040338071456,360.712471923267,343.28009121220214,-0.004217202035113095,0.020732191905531636
2020-02-04,BTCUSDT,9291.35,9350.0,9093.01,9197.02,Bitcoin,9226.979,8103.2912,60.661045406400476,340.844149790124,342.7929029277865,-0.01030012470407638,0.020933646760625885
2020-02-05,BTCUSDT,9197.02,9744.45,9177.22,9612.04,Bitcoin,9326.682999999999,8163.0556,68.42132378000937,354.5005452722489,345.13443139667896,0.04413696079004374,0.022656677796514445
2020-02-06,BTCUSDT,9612.03,9862.57,9526.35,9772.0,Bitcoin,9413.126,8212.939,78.42402826855127,373.92045004858846,350.8916351270609,0.016504674065094656,0.022473732422301086
2020-02-07,BTCUSDT,9772.0,9885.0,9730.0,9813.73,Bitcoin,9457.078,8266.2076,78.48886125790077,388.2031623371895,358.35394056908666,0.00426127217580927,0.022451302299113345
2020-02-08,BTCUSDT,9813.87,9940.0,9667.11,9895.05,Bitcoin,9516.429999999998,8320.352,82.44359568384368,401.45641940276437,366.97443633582225,0.008252206527558531,0.021383679848834505
2020-02-09,BTCUSDT,9895.04,10166.0,9880.75,10151.75,Bitcoin,9580.284,8380.732,82.31276782748026,427.7425163127973,379.12805233121725,0.025611472320488028,0.02155447338963747
2020-02-10,BTCUSDT,10151.72,10188.0,9756.0,9851.83,Bitcoin,9630.178,8427.739800000001,69.79348336463647,419.5372359282064,387.20988905061506,-0.02998887968955256,0.023151197597748318
2020-02-11,BTCUSDT,9851.74,10323.59,9700.0,10223.08,Bitcoin,9714.025,8485.8596,68.53516981165038,437.9429309439456,397.3564974292812,0.03699068450599928,0.023954012001560943
2020-02-12,BTCUSDT,10223.08,10450.0,10223.08,10326.46,Bitcoin,9813.52,8547.2734,72.08339258550626,455.6193822418154,409.0090743917881,0.010061623972999353,0.021955956130893163
2020-02-13,BTCUSDT,10325.33,10500.0,10080.0,10229.63,Bitcoin,9907.259,8607.7734,66.23990134830035,456.55187961488446,418.5176354364074,-0.009421122032285924,0.022361164650915318
2020-02-14,BTCUSDT,10227.78,10381.56,10111.37,10344.36,Bitcoin,10021.992999999999,8670.6206,72.9491007568919,461.23184901412606,427.06047815195114,0.011153032471666205,0.021789246593203346
2020-02-15,BTCUSDT,10344.36,10375.0,9801.0,9904.72,Bitcoin,10051.260999999999,8723.6202,60.126476303216,424.5712911472747,426.5626407510159,-0.043430032448461935,0.02428304143641213
2020-02-16,BTCUSDT,9904.46,10050.0,9638.12,9917.27,Bitcoin,10065.787999999999,8775.6428,61.58764322339684,392.0113521786898,419.65238303655076,0.0012662706092510477,0.02349305305035406
2020-02-17,BTCUSDT,9910.7,9964.16,9452.67,9706.0,Bitcoin,10055.015,8821.998,57.66358463726885,345.18061535511333,404.7580295002633,-0.021533430825940978,0.021593153630337328
2020-02-18,BTCUSDT,9706.0,10250.0,9576.01,10164.71,Bitcoin,10081.981,8880.3722,65.7963898256943,341.14843561749694,392.03611072371007,0.04617766642322519,0.023617054538097662
2020-02-19,BTCUSDT,10164.78,10250.0,9350.0,9593.79,Bitcoin,10026.185000000001,8928.3434,49.71651894585434,288.5581131949475,371.3405112179576,-0.05780590324636327,0.026972608824994308
2020-02-20,BTCUSDT,9594.65,9699.0,9400.0,9596.42,Bitcoin,10000.644,8976.2548,47.132526342607406,244.276258155116,345.9276606053893,0.00027409809652581926,0.02666028337125074
2020-02-21,BTCUSDT,9597.21,9755.51,9550.21,9677.05,Bitcoin,9946.041000000001,9030.481600000001,47.795825162555474,213.23074485433244,319.3882774551779,0.008366990519610176,0.026704170787505758
